Date,Sensor
2025-08-03 00:03:51,202
2025-08-03 00:13:51,202
2025-08-03 00:23:51,202
2025-08-03 00:33:51,202
2025-08-03 00:43:51,202
2025-08-03 00:53:51,202
2025-08-03 01:03:51,202
2025-08-03 01:13:51,202
2025-08-03 01:23:51,202
2025-08-03 01:33:51,202
2025-08-03 01:43:51,202
2025-08-03 01:53:51,202
2025-08-03 02:03:51,202
2025-08-03 02:13:51,202
2025-08-03 02:23:51,202
2025-08-03 02:33:51,202
2025-08-03 02:43:51,202
2025-08-03 02:53:51,202
2025-08-03 03:03:51,202
2025-08-03 03:13:51,203
2025-08-03 03:23:51,203
2025-08-03 03:33:51,203
2025-08-03 03:43:51,203
2025-08-03 03:53:51,203
2025-08-03 04:03:51,203
2025-08-03 04:13:51,203
2025-08-03 04:23:51,203
2025-08-03 04:33:51,203
2025-08-03 04:43:51,203
2025-08-03 04:53:51,203
2025-08-03 05:03:51,203
2025-08-03 05:13:51,203
2025-08-03 05:23:51,203
2025-08-03 05:33:51,203
2025-08-03 05:43:51,203
2025-08-03 05:53:51,203
2025-08-03 06:03:51,204
2025-08-03 06:13:51,204
2025-08-03 06:23:51,204
2025-08-03 06:33:51,204
2025-08-03 06:43:51,204
2025-08-03 06:53:51,204
2025-08-03 07:03:51,204
2025-08-03 07:13:51,204
2025-08-03 07:23:51,204
2025-08-03 07:33:51,204
2025-08-03 07:43:51,204
2025-08-03 07:53:51,204
2025-08-03 08:03:51,204
2025-08-03 08:13:51,204
2025-08-03 08:23:51,204
2025-08-03 08:33:51,204
2025-08-03 08:43:51,204
2025-08-03 08:53:51,203
2025-08-03 09:03:51,203
2025-08-03 09:13:51,203
2025-08-03 09:23:51,203
2025-08-03 09:33:51,202
2025-08-03 09:43:51,202
2025-08-03 09:53:51,201
2025-08-03 10:03:51,201
2025-08-03 10:13:51,201
2025-08-03 10:23:51,200
2025-08-03 10:33:51,200
2025-08-03 10:43:51,200
2025-08-03 10:53:51,200
2025-08-03 11:03:51,199
2025-08-03 11:13:51,199
2025-08-03 11:23:51,199
2025-08-03 11:33:51,198
2025-08-03 11:43:51,199
2025-08-03 11:53:51,198
2025-08-03 12:03:51,198
2025-08-03 12:13:51,198
2025-08-03 12:23:51,198
2025-08-03 12:33:51,198
2025-08-03 12:43:51,198
2025-08-03 12:53:51,197
2025-08-03 13:03:51,197
2025-08-03 13:13:51,197
2025-08-03 13:23:51,197
2025-08-03 13:33:51,197
2025-08-03 13:43:51,197
2025-08-03 13:53:51,197
2025-08-03 14:03:51,196
2025-08-03 14:13:51,196
2025-08-03 14:23:51,196
2025-08-03 14:33:51,196
2025-08-03 14:43:51,196
2025-08-03 14:53:51,196
2025-08-03 15:03:51,196
2025-08-03 15:13:51,196
2025-08-03 15:23:51,196
2025-08-03 15:33:51,196
2025-08-03 15:43:51,196
2025-08-03 15:53:51,196
2025-08-03 16:03:51,196
2025-08-03 16:13:51,196
2025-08-03 16:23:51,196
2025-08-03 16:33:51,196
2025-08-03 16:43:51,196
2025-08-03 16:53:51,196
2025-08-03 17:03:51,196
2025-08-03 17:13:51,196
2025-08-03 17:23:51,196
2025-08-03 17:33:51,196
2025-08-03 17:43:51,196
2025-08-03 17:53:51,196
2025-08-03 18:03:51,196
2025-08-03 18:13:51,196
2025-08-03 18:23:51,196
2025-08-03 18:33:51,196
2025-08-03 18:43:51,196
2025-08-03 18:53:51,196
2025-08-03 19:03:51,196
2025-08-03 19:13:51,196
2025-08-03 19:23:51,196
2025-08-03 19:33:51,197
2025-08-03 19:43:51,197
2025-08-03 19:53:51,197
2025-08-03 20:03:51,197
2025-08-03 20:13:51,198
2025-08-03 20:23:51,198
2025-08-03 20:33:51,199
2025-08-03 20:43:51,199
2025-08-03 20:53:51,199
2025-08-03 21:03:51,199
2025-08-03 21:13:51,200
2025-08-03 21:23:51,200
2025-08-03 21:33:51,200
2025-08-03 21:43:51,200
2025-08-03 21:53:51,200
2025-08-03 22:03:51,200
2025-08-03 22:13:51,200
2025-08-03 22:23:51,200
2025-08-03 22:33:51,200
2025-08-03 22:43:51,200
2025-08-03 22:53:51,200
2025-08-03 23:03:51,200
2025-08-03 23:13:51,200
